month,window,alpha,Mkt_RF,SMB,HML,Mom,alpha_se,Mkt_RF_se,SMB_se,HML_se,Mom_se,r2,nobs,fitted_oos,residual_oos,excess_ret,annualized_alpha
2021-07-01,24,0.012540702558998786,1.1224344323539872,1.1408355637028764,-0.685927418000027,-0.2461954505760855,0.005055291670498906,0.12275003888922266,0.34868641770814673,0.24221162156415446,0.23331815646048423,0.9145855045262402,24.0,0.01803163243396718,-0.00833163243396718,0.0097,0.16131459033544804
2021-08-01,24,0.01145473981486652,1.1188391623633844,1.205862810693914,-0.6663317994487411,-0.2583344083789463,0.005008228203376086,0.12102639741635081,0.353244556846871,0.23686299482522868,0.23007220824320865,0.9160953758905581,24.0,0.05285605735332517,-0.008356057353325175,0.0445,0.14645614589689537
2021-09-01,24,0.011458239814825535,1.1299719737896754,1.1354220436306255,-0.7460585790885126,-0.3272629410432173,0.004920228468317199,0.11833698786158439,0.3415136896025286,0.2083926912087721,0.2226657911552091,0.9228669008482451,24.0,-0.0397348963243298,-0.024265103675670203,-0.064,0.14650375264793492
2021-10-01,24,0.011296816322303269,1.1002498302010864,1.250746273209351,-0.7553614572956358,-0.3881912585450653,0.005045068337696673,0.1154284370614327,0.32526764828841226,0.21153904064255663,0.21674348287794823,0.9210488491822446,24.0,0.01968413515370572,-0.02328413515370572,-0.0036,0.1443099662800973
2021-11-01,24,0.012320193821794192,1.0958229070391179,1.2557481725434818,-0.7795415389393657,-0.41196524285467184,0.004825284750385267,0.1096086991972857,0.31532009143444234,0.20365808211932576,0.2075132715064238,0.9274631261384415,24.0,-0.032706640759929566,0.0015066407599295673,-0.0312,0.15828332244930032
2021-12-01,24,0.012449433614311813,1.087716076108399,1.3204700862170005,-0.7914570611488261,-0.43109642296230244,0.004814224417923326,0.107060977221243,0.3128731389621002,0.1960006265805367,0.19847113879977302,0.9283661224519875,24.0,0.01077404928379015,-0.01277404928379015,-0.002,0.1600590624242071
2022-01-01,24,0.012943616346517452,1.0809944294655747,1.3145094881557573,-0.764901017912958,-0.4205098724642069,0.004714020396728376,0.10348562968128076,0.3178026192919621,0.156096143059665,0.19652771676002095,0.9411783951066666,24.0,-0.15735763699081218,0.007857636990812183,-0.1495,0.16687211598481322
2022-02-01,24,0.008222718533854194,1.1903335649851874,1.14768189489138,-0.7712516145391628,-0.3086466746938332,0.005555805156776655,0.12550871526711962,0.3523023348486147,0.18007827304784668,0.23065071202610782,0.9210348204246631,24.0,-0.0013373191594127087,-0.06246268084058729,-0.0638,0.10325969194729012
2022-03-01,24,0.006075415100949638,1.2018712941807363,1.2484828459843276,-0.7514317795934977,-0.35497962782649517,0.006804978130009843,0.16352463889931615,0.4100191873997242,0.22391445335844964,0.24329821028703882,0.8974637020292168,24.0,0.01004957497605221,-0.035849574976052206,-0.0258,0.07539110081057077
2022-04-01,24,0.0057388480080051915,1.1837994824852252,1.1660830609207034,-0.7657351358383169,-0.3721928800203502,0.006574799307556935,0.16484940482307792,0.43593303207254386,0.22184073818733047,0.2411343682402638,0.8970864852069573,24.0,-0.11909178386474814,-0.006008216135251848,-0.1251,0.07108196800252009
2022-05-01,24,0.005012690393051383,1.172881674245759,1.1382603583299722,-0.7525107346612573,-0.3706070242752766,0.00666399004274257,0.16376615735343228,0.4370185227924844,0.2205902093277649,0.23629701086397378,0.8856016560377055,24.0,-0.034492496890413046,-0.004507503109586954,-0.039,0.06183869597759961
2022-06-01,24,0.00039459969097992154,1.3380011475371258,1.236494385708613,-0.6181656952274948,-0.2056803716887201,0.0064557999142898295,0.14777358242277128,0.4665617873020681,0.22043530739212255,0.24086911235717767,0.8940554302148899,24.0,-0.10325255651196419,-0.05394744348803579,-0.15719999999999998,0.004745486609624816
2022-07-01,24,-0.0015472050347733442,1.280773755727957,1.3327111864192862,-0.5841542671889691,-0.3184610738235838,0.00588775707650431,0.15143860738445125,0.4541059404864042,0.1877705877269675,0.2509257573608154,0.9048707711671864,24.0,0.1181631568202546,-0.013163156820254596,0.10500000000000001,-0.018409278750653457
2022-08-01,24,-0.0005187382932709175,1.3080481261663641,1.5557423621105002,-0.5771635747443394,-0.3585146826249548,0.005732764443747623,0.148434897988783,0.4769400376383976,0.1759917214450174,0.23928340259331324,0.9092536537742678,24.0,-0.08319626772687999,-0.0003037322731200137,-0.0835,-0.006207130291058571
2022-09-01,24,0.0012224847564418946,1.2201556441223853,1.2760643858692817,-0.619790557837204,-0.3713949523040485,0.006137600586210136,0.14634831192955516,0.49942376363621777,0.18501374060835318,0.2544481664359379,0.9059676314719469,24.0,-0.17364859639947738,0.04814859639947747,-0.12549999999999992,0.014768855070102838
2022-10-01,24,0.0016321527806194645,1.2963799837716308,0.8678210497408853,-0.6354738457230255,-0.2511282070431866,0.006787540465329219,0.15788472545662754,0.5102797694530569,0.19971990730865594,0.2743305715361004,0.8966982616082189,24.0,0.02576612445951471,0.059333875540485304,0.08510000000000001,0.019762612331883034
