date,actual_ret,pred_ret,cnn_pred,tf_pred,residual,n_holdings_with_chars,n_holdings_total,coverage_pct
2019-10-01,0.11527156755050859,0.017369948733242616,0.03130996949671851,0.03777410458598557,0.09790161881726597,55,72,76.38888888888889
2019-11-01,0.04850411206510909,0.015750391092878027,0.02970661707720563,0.037714738453529226,0.03275372097223106,52,71,73.23943661971832
2019-12-01,0.046447269624295066,0.016254007315153546,0.030099141917815837,0.03768867636431534,0.03019326230914152,52,70,74.28571428571429
2020-01-01,0.001005407105899668,0.01629941552834322,0.03019713077731398,0.037654654794158596,-0.015294008422443554,50,67,74.6268656716418
2020-02-01,-0.12432877698966553,0.015773720863124396,0.029460484031866914,0.037685915246456744,-0.14010249785278994,50,65,76.92307692307693
2020-03-01,-0.012934843298799735,0.01738131152724092,0.0310696343413494,0.03768633951412267,-0.030316154826040657,51,66,77.27272727272727
2020-04-01,0.3407910406616607,0.014308779331276238,0.028072870508792327,0.03763743788064003,0.3264822613303845,51,66,77.27272727272727
2020-05-01,0.21742160936570487,0.013366191148655652,0.02723374186143092,0.03754359064954648,0.20405541821704923,49,62,79.03225806451613
2020-06-01,0.021773102632889934,0.017237202759119274,0.03158975935939035,0.03751169444432225,0.0045358998737706595,50,63,79.36507936507937
2020-07-01,0.04633594531768775,0.01766715757641842,0.031690999950648856,0.03767086443157002,0.02866878774126933,51,64,79.6875
2020-08-01,0.1254930465441172,0.017442187598032562,0.03138608813525226,0.03758063260700779,0.10805085894608463,52,65,80.0
2020-09-01,0.09037095181364467,0.015568275604292789,0.029107279643361253,0.037669107001736785,0.07480267620935188,51,65,78.46153846153847
2020-10-01,-0.017565348786422293,0.016233557486299243,0.03025912918324626,0.03759278913517744,-0.033798906272721536,52,65,80.0
2020-11-01,0.1680456492357044,0.017343124142992435,0.03128021309318316,0.037711275016540736,0.15070252509271195,51,64,79.6875
2020-12-01,0.19267227655158062,0.018183888989440657,0.03215036369208804,0.03778286007002641,0.17448838756213997,49,61,80.32786885245902
2021-01-01,0.032718610614743314,0.017883142673707737,0.031563364250121566,0.03778271888854506,0.014835467941035577,48,60,80.0
2021-02-01,0.014889591490263058,0.01626564078352777,0.029939379316969234,0.03774397628699871,-0.00137604929326471,54,66,81.81818181818183
2021-03-01,0.017277318086024448,0.0171821349750731,0.03094461917193237,0.037706918275690074,9.518311095134749e-05,55,67,82.08955223880598
2021-04-01,0.06515960456333743,0.017316431433894067,0.030843375130596037,0.03776317838045863,0.04784317312944336,56,68,82.35294117647058
2021-05-01,0.005600353725331809,0.01715293533559821,0.030529928364578143,0.03772718758260915,-0.011552581610266401,53,66,80.3030303030303
2021-06-01,-0.004819928558898617,0.017886828571103196,0.03152914708969616,0.037733921557292924,-0.022706757130001812,54,67,80.59701492537313
2021-07-01,0.02538487911005337,0.017292613334464517,0.0310416707811,0.03772579297285482,0.008092265775588851,55,68,80.88235294117648
2021-08-01,0.065561437679377,0.01591860307872436,0.02962248714870982,0.03769501811344386,0.049642834600652636,53,66,80.3030303030303
2021-09-01,-0.042487908451804515,0.01598785031065899,0.02963299557228498,0.037663242159539694,-0.058475758762463505,52,66,78.78787878787878
2021-10-01,-0.010940269039889428,0.017287236399200552,0.03164674285392279,0.03775403155869839,-0.02822750543908998,54,67,80.59701492537313
2021-11-01,-0.012209528362720186,0.017129199332174102,0.031485229331981966,0.037790417213675195,-0.02933872769489429,53,67,79.1044776119403
2021-12-01,-0.023423234667393503,0.015793327003593587,0.029410426905936937,0.03770968942889738,-0.03921656167098709,52,65,80.0
2022-01-01,-0.14061329083425186,0.016125897260883,0.02978665359728099,0.037837947079982934,-0.15673918809513487,52,65,80.0
2022-02-01,-0.06086580622258626,0.016430779818695583,0.030207028242930794,0.037924121403953,-0.07729658604128184,51,64,79.6875
2022-03-01,-0.013468873718167176,0.01498952008570758,0.028533520729965924,0.03791994829560769,-0.028458393803874757,49,61,80.32786885245902
2022-04-01,-0.10260571887035734,0.014360576255037675,0.02788439010933736,0.037871781356590146,-0.11696629512539501,51,62,82.25806451612904
2022-05-01,-0.04744277641442283,0.014395007283792026,0.02812012778261616,0.03794700531474673,-0.061837783698214854,50,60,83.33333333333334
2022-06-01,-0.12773882833754005,0.015351052356614332,0.02902803392102291,0.03793261242136483,-0.14308988069415438,49,59,83.05084745762711
2022-07-01,0.10867922955806095,0.01699681014794134,0.030702800946558036,0.03792675533936465,0.0916824194101196,49,59,83.05084745762711
2022-08-01,-0.051641581114756856,0.016007817159088326,0.029423032321686034,0.03783555017182356,-0.06764939827384518,48,58,82.75862068965517
2022-09-01,-0.1233910193357026,0.015770503868527543,0.029664452740577402,0.03793479856525482,-0.13916152320423014,50,61,81.9672131147541
2022-10-01,0.0799654485150563,0.016338461480529847,0.030389437775098872,0.03792967929293429,0.06362698703452645,51,62,82.25806451612904
2022-11-01,0.09493517280249725,0.015162109564530558,0.02868999473315515,0.03790381920802361,0.0797730632379667,53,64,82.8125
2022-12-01,-0.0641632119492972,0.01630297316432269,0.029893447416926667,0.037867174708113426,-0.08046618511361989,53,64,82.8125
