,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
slope_10y_2y,0.2444388464035613,0.04971719228357794,-0.04411643364641364,0.04263478824083864,-0.04815188099149897,0.06316939194341328,0.20019185445234955,0.0406554591772578,-0.13188536458858047,0.03035787326546613,0.08432858271175211,-0.09208647062029517,-0.03136550240413005,0.2673585881600989,-0.18979264507520494,-0.01928572083441174,0.013694295382797594,-0.1823054070812699,-0.22976263626033422,0.07782461920543146,0.18020362954350813,0.20792245013073773,-0.2831860422723723,-0.20085783626538195,0.04188961853433575,-0.14597910070904302,0.06539006029918742,-0.001549518794589266,0.09186420969352019,0.2236242270997353,0.15131963040873586,0.20491732745303223,0.29068922656027096,0.02198317827677068,-0.11025249353472431,0.0974113851869455,0.11726901179593233,-0.19737144341350965,-0.03770297088409492,0.10702684287944715,-0.17505067941045793,0.022556675685788365,-0.03009685201250205,-0.03093086453116335,-0.04410176527348229,0.02455308339034984,-0.30413412872130746,-0.06121808821246416
slope_10y_3m,0.21547746995362838,-0.10437412939137268,-0.0539840673915738,-0.03234820862367427,-0.09920841378392709,-0.04002666349875894,-0.0518302657301416,-0.06057230112502349,-0.42560835039742595,0.049420404898595144,-0.05699763222257098,-0.26420667730139163,0.026462396258677467,0.022932887197263038,-0.2804349089627568,-0.17633349573853935,-0.15703586493276195,-0.047616763152489375,0.01675775791427384,0.16286183386175915,-0.18025117517487593,-0.16812464603483357,-0.10537211203361713,0.31575806093101016,-0.23830806121306486,-0.02015089436078297,0.01859217086011551,0.028090488914684138,-0.17948402494333413,0.07197568240263566,-0.024049809425074863,-0.055321729485504206,0.03604666166157568,-0.08209433105363728,0.000721361734526773,0.08103357693539967,0.05576541844349456,0.1241984329369867,0.01532375844420207,-0.10508975970776246,0.09939835453236336,0.016177452847866987,0.02032792011799351,-0.04192182331170795,0.011142765154074072,-0.011886134445988909,0.202996885023072,-0.3611745672200129
baa_spread,-0.05897966346810392,0.11924541047201362,0.21997393717950733,0.15326240866899843,-0.21138944171027835,0.02467193896684818,-0.100935522387323,0.35185526026886876,-0.06711985139985255,-0.11096376316373632,-0.13793066062699327,-0.10650979506369262,-0.05882225908962084,0.2110350425637148,0.1529939693032558,-0.07935221097680464,-0.19475117725318117,-0.1222136746242749,-0.06703895055857427,-0.36200786301499815,-0.20678998357633463,-0.17019113190619933,-0.050072005885685236,0.027249053999216885,0.3588502271172179,0.23007793416868907,0.19393097912522286,-0.12998918960623235,0.0070601224517732875,0.1778387728586573,-0.009732902010075983,-0.035154002770693804,0.16374579355481883,0.004857245544053063,0.046250114695159564,-0.08898100475560754,-0.012153961291257457,0.004223325435314573,0.04917615783736717,-0.11064348353671144,0.11366937604634475,0.00380335406591132,-0.009328036669612627,-0.08501054134481467,-0.038473139411368776,-0.014036469820225498,-4.0245584642661925e-16,5.551115123125783e-17
baa_aaa_spread,-0.1595027112694676,0.0764462868243885,0.12056787668235387,0.20819670241007585,-0.07198543433634147,-0.08380944803079823,-0.2510569023647049,0.21422451234363515,-0.006803997902764369,-0.27771010188389245,-0.02681751244120928,-0.08002650649817303,0.05252874476086217,0.08960249572906165,-0.030893680943472217,0.025584287832517066,-0.008464459115460565,-0.06126348904142481,-0.0918959701142893,0.42041597354464255,0.09121629091828129,-0.19401346838988365,-0.011412737342893775,-0.223723331163533,0.011316196857788924,-0.11305615814512145,-0.149520602207803,-0.14712404096891446,-0.36756125953293295,0.027242552471442825,-0.0188113733662061,0.19283113792568582,-0.28586832643762994,-0.1522275774087006,-0.027885073707539114,-0.009976498126747474,-0.15866147780095233,-0.09366359744738854,0.007487371984847349,0.06155026559105918,-0.15438490101522473,0.012219760000322932,0.051137526797196964,0.07780011802689116,0.03251788906130942,0.016968181573536485,7.216449660063518e-16,9.71445146547012e-17
sp500,0.13847974214240905,-0.25048718267935116,0.05978344449499832,0.059252777017197576,0.07454449688130527,0.014139268739889004,0.13873979658603608,-0.11650587439706629,-0.06052961582553684,0.05820802819322868,0.02799710353404848,0.03540089035924021,-0.035550781358048324,-0.05675817606713057,0.07278182165634403,0.18738165543013263,-0.0627779153966091,0.011884787969473398,0.05085932363073816,-0.12848132507109167,0.06718296801760976,-0.0010270681430289987,0.009724276516011664,-0.16946873141646457,0.061726288115700176,-0.11651798907850838,0.016158694853884742,-0.18356702581943887,-0.03230160107007986,0.07270136911877567,-0.21720134627231755,-0.11425766345132851,0.1232522698067792,-0.49470263375354423,0.0622157412746052,0.30938197511480736,-0.42497012355034774,-0.1434945746390501,-0.02091724533040714,-0.2442514618186706,0.08576395589641171,0.07252594784279237,0.08472352973742145,-0.03196931393328971,0.04777931379827744,0.01127603557994325,-7.147060721024445e-16,2.2898349882893854e-16
sp500_ret,0.04635663435806306,0.05776613184643727,-0.028941281046815474,0.2508997834104747,0.41117544648797066,-0.07542068757426994,-0.05519213474389079,0.01797359668635839,-0.06931682487544885,0.026302665079080245,0.02300385273509345,-0.03205587355308483,-0.16726773086860186,-0.14858541581351487,-0.10504432610303657,0.12513031952154807,-0.21602777702161716,0.12942496985819663,-0.25684311401317794,0.23720013728401862,-0.00751987483398045,0.2961470191545079,0.1895811366553992,0.33160528704581643,0.4095670118614203,0.02074762424033208,-0.14829305797571282,-0.06616012168730181,0.076687901296495,0.15126898530347688,0.022513080535565867,-0.03363419907638078,0.007385940848620043,-0.0422496479600506,-0.05635410202628939,-0.10543535321260836,0.0018663240618741403,0.038526524611646205,0.048852598288666754,0.0008987037184226623,0.05344514303085203,-0.02546101689674239,0.02455233967253455,-0.01878121228313004,-0.006107527641035199,-0.006179274584594803,1.942890293094024e-16,1.1102230246251565e-16
sp500_mom_12m,0.22204628266857168,0.04029558520012238,-0.0699239785636166,-0.00382425575215599,0.13252176482021152,0.08782777336917882,0.21803663132969922,-0.16037129527765895,-0.1411559886418169,0.11691224556371832,0.2671720863483211,-0.03435513016111569,-0.04729417693461785,0.09560296775135296,-0.10049902509245084,-0.24803419018342227,-0.08562866386470172,0.04384185951686348,-0.14514007498428755,-0.132862660898813,0.0900802272932582,-0.36316664952565636,-0.03331076648652842,-0.2788774370541212,0.31187676833759803,0.07784894648592393,-0.20966932371325234,-0.08865673859867493,-0.07652118395033236,-0.1794181282703729,-0.04859031503002202,-0.22360719963959444,-0.27651570219418964,0.18200313710563257,0.09178391719186893,-0.0955205350857419,-0.03211662389004687,0.0202571189335357,0.03196318764881573,0.08974500065798902,0.016179037434211174,-0.0028199268603811556,0.017624173373452665,0.07016566991268058,0.030144597373134713,0.0008421895649719079,9.43689570931383e-16,-3.469446951953614e-16
Mkt_RF,0.04159341375763259,0.04012224518274439,-0.02420378908300291,0.23703461226795705,0.3984428335642743,-0.1900105086663386,-0.0023945183506596853,0.07312625612895463,0.12580596136194228,-0.07247059522464176,0.0009413873836584541,0.024475540114750283,0.02448447728671352,-0.03193631303027072,-0.016306164076587804,0.27124486478626586,-0.29696372160236745,0.06531678760684934,-0.24179997583806384,-0.36184993056832615,-0.07214757898561734,-0.19115206422874945,-0.23590231295749414,-0.01619924042621461,-0.37239284794268485,-0.05726277073516041,0.07196963265229224,0.10541134390212566,-0.10804663258569727,-0.10686608407638463,0.2164336518516783,0.06556505948271045,-0.07436986686528022,0.02399857520367599,0.06425260805259086,0.09272695304634569,0.0906012387551855,-0.03674477845802801,-0.019621797370802746,-0.013351490802832218,-0.006144801883904885,-0.007702879080169769,-0.03375560045819159,0.01799395871182599,0.003025088201217316,0.003940839700992535,3.3306690738754696e-16,-2.2898349882893854e-16
SMB,0.03760917874370156,0.05432393899679355,0.07239918655251515,0.18713332668912777,-0.09430109405510315,0.13530601065778092,-0.07756069707565275,-0.64911212521992,0.0778876283264636,-0.4349462821613501,-0.3538065418681159,0.220704206490515,-0.07726793240881796,0.16089408493591967,-0.06600456966302276,-0.14807947309117972,-0.17835214456295212,-0.09162215791956083,-0.035952528644584064,-0.09275124702499521,0.034306104149960215,0.09653091206365473,-0.034910749837656976,0.04236540400941251,-0.002348079165689243,-0.01225528992506314,-0.06395930438290073,0.00020145862531770198,0.024544960137056343,0.009179970481124011,-0.024261427453052993,0.0012109051401106158,-0.03127123514192327,0.021970606689798035,-0.003335941516903057,0.004138598887997835,-0.017631343548166253,0.038859367290352304,0.019660953538421178,0.004531963158315347,-0.013538620290634712,-0.02003504687013674,0.0020657829644398634,0.00917649770129196,0.0033319319925873003,0.0017566218338989636,-2.7755575615628914e-17,-6.591949208711867e-17
HML,0.05393099570053495,-0.11342313463515301,-0.03568831417408712,-0.19395959722653658,-0.0007120478880789415,-0.41151058833527343,0.21599954151921255,-0.004910627157056681,0.057169415151392,-0.22201120099526184,-0.02527382427711125,-0.01691298215764904,0.10345911751172841,0.18917460489296406,0.02680258361233301,0.04105740610450204,0.04246433473091234,0.1563482671929871,-0.21827599856726376,0.0914099768560031,0.25003217046507054,0.12300056203243032,0.02612070958806475,-0.0034911928901185524,-0.11933432117418438,0.551145542098833,0.09066757820953641,0.007541867729296561,-0.11810380375197507,0.16469539964680538,-0.24940623838409925,-0.03821392875412029,-0.055358906694304155,0.07961580231061316,0.06997066789925849,0.023105613931544533,0.024952111259278695,-0.0027498740237944146,0.08629996072747742,-0.05294465513031478,0.0815027159739036,0.037397937162645195,0.02542475166890462,-0.02934399025607287,-0.001253278416024045,-0.008093177000345706,-4.440892098500626e-16,-2.7755575615628914e-16
