Date Posted,Activity,Description,Principal Cash
03/08/19,Purchase,"Purchased 36,395.36 Units Of -36,395.36 36,395.36 First Am Govt Ob Fd Cl X Trade Date 3/8/19","-36,395.36"
03/08/19,Sale,"Sold 200 Shares Of 36,395.36 -39,653.92 Asml Holding Nv Ny Reg Shs Trade Date 3/6/19 Sold Through J.P. Morgan Securities LLC Paid 2.00 USD Brokerage Paid 0.48 USD Sec Fee 200 Shares At 181.9892 USD",0.00
03/11/19,Purchase,"Purchased 123,624.35 Units Of -123,624.35 123,624.35 First Am Govt Ob Fd Cl X Trade Date 3/11/19","-124,462.48"
03/11/19,Sale,Sold 838.13 Units Of 838.13 -838.13 First Am Govt Ob Fd Cl X Trade Date 3/11/19 16664 00- -A -UC-UZ -001-04,"-123,624.35"
03/11/19,Sale,"Sold 5,000 Shares Of 67,996.17 -68,491.31 Ocado Group Plc Net Proceeds 67,996.17 USD Trade Date 3/7/19 Sold Through Crst 784 Jpmorgan Secs Ltd Paid 34.02 USD Brokerage Paid 1.32 USD Misc Fee1 Book Value 43,781.34 GBP Local Proceeds 51,786.09 GBP Traded At 0.76160304 GBP To 1 USD Valued At 0.76037 GBP For 68,106.44 USD 5,000 Shares At 10.3626 GBP","-55,628.18"
03/11/19,Sale,"Sold 950 Shares Of 55,628.18 -60,816.24 Stroeer SE and Co Kgaa Net Proceeds 55,628.18 USD Trade Date 3/7/19 Sold Through Jpmsgb2leql Jp Morgan Eq Lndn Paid 27.83 USD Brokerage Book Value 50,597.13 EUR Local Proceeds 49,188.43 EUR Traded At 0.88423583 EUR To 1 USD Valued At 0.883587 EUR For 55,669.03 USD 950 Shares At 51.8032 EUR",0.00
03/12/19,Sale,"Sold 143,432.71 Units Of 143,432.71 -143,432.71 First Am Govt Ob Fd Cl X Trade Date 3/12/19","143,432.71"
03/12/19,Purchase,"Purchased 400 Shares Of -48,222.91 48,213.85 Nidec Corp Net Cost 48,222.91 USD Trade Date 3/7/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 24.10 USD Brokerage Book Value 5,386,692 JPY Traded At 111.70400127 JPY To 1 USD Valued At 111.725 JPY For 48,213.85 USD 400 Shares At 13,460.00000007 JPY 16664 00- -A -UC-UZ -001-04","95,209.80"
03/12/19,Purchase,"Purchased 1,000 Shares Of -49,530.59 49,521.28 Uuum Inc Net Cost 49,530.59 USD Trade Date 3/7/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 24.75 USD Brokerage Purchased On The Tokyo Stock Exchange Book Value 5,532,765 JPY Traded At 111.70399948 JPY To 1 USD Valued At 111.725 JPY For 49,521.28 USD 1,000 Shares At 5,530 JPY","45,679.21"
03/12/19,Purchase,"Purchased 1,500 Shares Of -45,679.21 45,670.62 Comture Corp Net Cost 45,679.21 USD Trade Date 3/7/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 22.83 USD Brokerage Purchased On The Jasdaq Securities Exchange Book Value 5,102,550 JPY Traded At 111.70398962 JPY To 1 USD Valued At 111.725 JPY For 45,670.62 USD 1,500 Shares At 3,400 JPY",0.00
