Trade_Date,Clean_Name,Action,Qty,Price,Currency,Ticker
2019-12-31,Entertainment One Ltd,-1,10000.0,5.6,GBP,ETO.L
2020-01-03,Zoo Digital Group,1,20000.0,0.65,GBP,ZOO.L
2020-01-06,Zoo Digital Group,1,80000.0,0.6706,GBP,ZOO.L
2020-01-06,Cyberagent Inc Npv,1,2000.0,3740.0,JPY,4751.T
2020-01-07,Tomtom,1,14000.0,9.7379,EUR,TOM2.AS
2020-01-09,Capgemini,1,1000.0,109.22739292,EUR,CAP.PA
2020-01-09,Fanuc Corporation A D R,1,5000.0,18.48,USD,FANUY
2020-01-20,Fevertree Drinks Plc,-1,5000.0,15.0737,GBP,FEVR.L
2020-01-23,Hugo Boss Ag,1,3000.0,44.9207,EUR,BOSS.DE
2020-01-23,Shopify Inc A,-1,300.0,468.8,USD,SHOP
2020-01-24,Materialise Nv A D R,1,3000.0,18.8698,USD,MTLS
2020-01-24,Iqe Plc,1,5000.0,0.5075,GBP,IQE.L
2020-01-24,Boozt Ab,1,20000.0,49.3122,SEK,BOOZT.ST
2020-01-24,Dustin Group Ab,1,10000.0,74.7595,SEK,DUST.ST
2020-01-27,Line Corp A D R,-1,4000.0,49.0402,USD,LN
2020-01-29,Thk Co Ltd,1,2500.0,2925.0,JPY,6481.T
2020-01-29,Comture Corp,1,4000.0,2498.15,JPY,3844.T
2020-01-29,Monotaro Co Ltd First Section,1,4000.0,2724.0,JPY,3064.T
2020-01-30,Moncler Spa,-1,4000.0,39.8146,EUR,MONC.MI
2020-01-31,B H P Billiton Limited A D R,-1,2650.0,51.5885,USD,BHP
2020-02-05,Ds Smith Plc,1,30000.0,3.7446,GBP,SMDS.L
2020-02-05,Biocartis Nv,1,12000.0,5.9952,EUR,BCART.BR
2020-02-05,Slm Solutions Group Ag,1,4669.0,10.83639966,EUR,AM3D.DE
2020-02-05,Asml Holding Nv Ny Reg Shs,1,310.0,303.6168,USD,ASML
2020-02-05,Materialise Nv A D R,1,5000.0,18.7531,USD,MTLS
2020-02-06,Nidec Corp,1,1200.0,14575.0,JPY,6594.T
2020-02-06,Tomtom,1,14000.0,10.192,EUR,TOM2.AS
2020-02-06,Slm Solutions Group Ag,1,2331.0,10.6914,EUR,AM3D.DE
2020-02-07,Raysearch Laboratories Ab,1,15000.0,97.0785,SEK,RAY.ST
2020-02-10,Wirecard Ag,1,1000.0,139.8005,EUR,WDI.DE
2020-02-12,Fancl Corp,-1,5000.0,0.76935,GBP,4921.T
2020-02-13,Tobii Ab,1,25000.0,44.6848,SEK,TOBII.ST
2020-02-13,Schibsted Asa A-Shares,-1,3500.0,279.7699,NOK,SCHA.OL
2020-02-14,Af Ab B Shs,1,5600.0,249.1899,SEK,AF-B.ST
2020-02-27,Ocado Group Plc,1,5000.0,10.7689,GBP,OCDO.L
2020-03-02,Taiwan Semiconductor A D R,1,2000.0,54.9945,USD,TSM
2020-03-02,Pva Tepla Ag,-1,12474.0,11.61989973,EUR,TPE.DE
2020-03-03,Frontier Developments Plc,1,5000.0,12.61185064,GBP,FDEV.L
2020-03-03,Frontier Developments Plc,1,5000.0,16.075062,GBP,FDEV.L
2020-03-03,Pva Tepla Ag,-1,1526.0,11.8971,EUR,TPE.DE
2020-03-03,Frontier Developments Plc,1,5000.0,106.6,JPY,FDEV.L
2020-03-03,Frontier Developments Plc,1,5000.0,12.61185064,GBP,FDEV.L
2020-03-04,Amplifon Spa,1,3000.0,24.4454,EUR,AMP.MI
2020-03-05,Japan Elevator Ser,1,7000.0,2336.68557143,JPY,6544.T
2020-03-10,Blackberry Ltd,1,20000.0,105.2,JPY,BB
2020-03-11,First Derivatives Plc,-1,3000.0,23.3838,GBP,FDP.L
2020-03-11,Aston Martin Lagonda Global,-1,8000.0,2.01320064,GBP,AML.L
2020-03-12,Iqe Plc,-1,155000.0,0.3056,GBP,IQE.L
2020-03-16,Dassault Systemes Sa,1,1000.0,107.1903944,EUR,DSY.PA
2020-03-16,Shopify Inc A,1,300.0,326.67,USD,SHOP
2020-03-17,Alk Abello A S,1,450.0,1286.75,DKK,ALK-B.CO
2020-03-17,Orpea,1,750.0,71.1342,EUR,ORP.PA
2020-03-17,Asos Plc,1,4000.0,12.08,GBP,ASC.L
2020-03-17,Shopify Inc A,1,150.0,314.945,USD,SHOP
2020-03-17,Asml Holding Nv Ny Reg Shs,1,300.0,229.71,USD,ASML
2020-03-17,Blackberry Ltd,1,30000.0,3.0686,USD,BB
2020-03-19,Future Plc,1,10000.0,5.5277,GBP,FUTR.L
2020-03-19,Taiwan Semiconductor A D R,1,2000.0,44.5929,USD,TSM
2020-03-20,Dustin Group Ab,1,15000.0,46.2063,SEK,DUST.ST
2020-03-26,Biocartis Nv,1,15000.0,3.75,EUR,BCART.BR
2020-04-02,Dassault Systemes Sa,1,1000.0,147.80043898,EUR,DSY.PA
2020-04-02,Dassault Systemes Sa,1,1000.0,125.1203,EUR,DSY.PA
2020-04-06,Infineon Technologies A G,1,5000.0,14.07076489,EUR,IFX.DE
2020-04-06,Asos Plc,1,10000.0,11.64006863,GBP,ASC.L
2020-04-06,Asos Plc,1,10000.0,11.60750071,GBP,ASC.L
2020-04-06,Infineon Technologies A G,1,5000.0,14.0678,EUR,IFX.DE
2020-04-06,Ams Ag,1,9000.0,9.2,CHF,AMS.SW
2020-04-08,Materialise Nv A D R,-1,7000.0,17.824,USD,MTLS
2020-04-14,Diasorin Spa,1,1000.0,143.98400688,EUR,DIA.MI
2020-04-14,Diasorin Spa,1,1000.0,144.78897388,EUR,DIA.MI
2020-04-15,Baozun Inc Spon A D R,-1,8000.0,29.7193,USD,BZUN
2020-04-16,Asos Plc,-1,5000.0,24.2013,GBP,ASC.L
2020-04-17,Ryanair Holdings Plc Sp A D R,1,2300.0,59.2076,USD,RYAAY
2020-04-22,Hugo Boss Ag,-1,3000.0,23.3049,EUR,BOSS.DE
2020-04-27,Taiwan Semiconductor A D R,-1,2000.0,53.3858,USD,TSM
2020-04-28,Solaredge Technologies Inc,-1,750.0,108.4805,USD,SEDG
2020-04-28,Orpea,-1,1250.0,98.093504,EUR,ORP.PA
2020-04-28,Ion Beam Applications,-1,1937.0,7.44130098,EUR,IBAB.BR
2020-04-28,Asml Holding Nv Ny Reg Shs,-1,300.0,291.6545,USD,ASML
2020-04-30,Wirecard Ag,-1,1000.0,90.7184,EUR,WDI.DE
