Month,Ticker,Shares
2018-07,4751.T,2000.0
2018-07,2678.T,3000.0
2018-07,AF.PA,10000.0
2018-07,ETO.L,20000.0
2018-07,ALK-B.CO,550.0
2018-07,HSBC,3000.0
2018-07,STM,3500.0
2018-07,BZUN,2250.0
2018-07,6951.T,10000.0
2018-07,AMP.MI,5000.0
2018-07,6857.T,4000.0
2018-07,AIXA.DE,6750.0
2018-07,6481.T,1500.0
2018-07,AF-B.ST,3300.0
2018-07,MONC.MI,1250.0
2018-07,INRN.SW,40.0
2018-07,LN,1000.0
2018-08,BB,20000.0
2018-08,NOK,30000.0
2018-08,SHOP,1050.0
2018-08,FANUY,5000.0
2018-08,RACE,600.0
2018-08,AMS.SW,2000.0
2018-08,BCART.BR,7000.0
2018-08,UCB.BR,1250.0
2018-08,ASML,590.0
2018-08,NTDOY,2500.0
2018-08,RAY.ST,8000.0
2018-08,SCHA.OL,3500.0
2018-08,UMI.BR,1700.0
2018-08,PNDORA.CO,3250.0
2018-08,BOOZT.ST,10000.0
2018-08,GWPH,1000.0
2018-08,MTLS,5000.0
2018-08,G5EN.ST,2000.0
2018-08,FAG.ST,12500.0
2018-08,NOD.OL,12500.0
2018-08,OVS.MI,18500.0
2018-08,AM3D.DE,2000.0
2018-08,NAS.OL,2300.0
2018-08,BAS1V.HE,3000.0
2018-08,6861.T,150.0
2018-08,BC.MI,2000.0
2018-08,ASC.L,1250.0
2018-08,SEDG,3250.0
2018-08,DUST.ST,10000.0
2018-08,ZAL.DE,1550.0
2018-08,FNAC.PA,800.0
2018-08,BHP,1650.0
2018-08,6146.T,550.0
2018-08,ACSO.L,2000.0
2018-08,SAX.DE,1950.0
2018-08,OCDO.L,6000.0
2018-08,4751.T,2000.0
2018-08,2678.T,3000.0
2018-08,AF.PA,10000.0
2018-08,ETO.L,20000.0
2018-08,ALK-B.CO,550.0
2018-08,HSBC,3000.0
2018-08,STM,3500.0
2018-08,BZUN,2250.0
2018-08,6951.T,10000.0
2018-08,AMP.MI,5000.0
2018-08,6857.T,4000.0
2018-08,AIXA.DE,6750.0
2018-08,6481.T,1500.0
2018-08,AF-B.ST,3300.0
2018-08,MONC.MI,1250.0
2018-08,INRN.SW,40.0
2018-08,LN,1500.0
2018-08,RKUNY,10000.0
2018-08,ADYEN.AS,100.0
2018-09,BB,20000.0
2018-09,NOK,30000.0
2018-09,SHOP,1050.0
2018-09,FANUY,5000.0
2018-09,RACE,600.0
2018-09,AMS.SW,2000.0
2018-09,BCART.BR,7000.0
2018-09,UCB.BR,1250.0
2018-09,ASML,840.0
2018-09,NTDOY,2500.0
2018-09,RAY.ST,8000.0
2018-09,SCHA.OL,3500.0
2018-09,UMI.BR,1700.0
2018-09,PNDORA.CO,3250.0
2018-09,BOOZT.ST,10000.0
2018-09,GWPH,1000.0
2018-09,MTLS,5000.0
2018-09,G5EN.ST,2000.0
2018-09,FAG.ST,12500.0
2018-09,NOD.OL,12500.0
2018-09,OVS.MI,18500.0
2018-09,AM3D.DE,2000.0
2018-09,NAS.OL,2300.0
2018-09,BAS1V.HE,3000.0
2018-09,6861.T,150.0
2018-09,BC.MI,2000.0
2018-09,ASC.L,1250.0
2018-09,SEDG,3250.0
2018-09,DUST.ST,10000.0
2018-09,ZAL.DE,1550.0
2018-09,FNAC.PA,800.0
2018-09,BHP,1650.0
2018-09,6146.T,550.0
2018-09,ACSO.L,2000.0
2018-09,SAX.DE,1950.0
2018-09,OCDO.L,6000.0
2018-09,4751.T,2000.0
2018-09,2678.T,3000.0
2018-09,AF.PA,10000.0
2018-09,ETO.L,20000.0
2018-09,ALK-B.CO,550.0
2018-09,HSBC,1500.0
2018-09,STM,3500.0
2018-09,BZUN,2250.0
2018-09,6951.T,10000.0
2018-09,AMP.MI,5000.0
2018-09,6857.T,4000.0
2018-09,6481.T,1500.0
2018-09,AF-B.ST,3300.0
2018-09,MONC.MI,1250.0
2018-09,INRN.SW,40.0
2018-09,LN,1500.0
2018-09,RKUNY,10000.0
2018-09,ADYEN.AS,140.0
2018-09,CAPC.L,23000.0
2018-09,FDP.L,1500.0
2018-10,BB,20000.0
2018-10,NOK,30000.0
2018-10,SHOP,1050.0
2018-10,FANUY,5000.0
2018-10,RACE,1000.0
2018-10,AMS.SW,2000.0
2018-10,BCART.BR,7000.0
2018-10,UCB.BR,1250.0
2018-10,ASML,840.0
2018-10,NTDOY,2500.0
2018-10,RAY.ST,8000.0
2018-10,SCHA.OL,3500.0
2018-10,UMI.BR,1700.0
2018-10,PNDORA.CO,3250.0
2018-10,BOOZT.ST,15000.0
2018-10,GWPH,1000.0
2018-10,MTLS,5000.0
2018-10,G5EN.ST,2000.0
2018-10,FAG.ST,12500.0
2018-10,NOD.OL,12500.0
2018-10,OVS.MI,18500.0
2018-10,AM3D.DE,2000.0
2018-10,NAS.OL,2300.0
2018-10,BAS1V.HE,4000.0
2018-10,6861.T,150.0
2018-10,BC.MI,2000.0
2018-10,ASC.L,1250.0
2018-10,SEDG,3250.0
2018-10,DUST.ST,10000.0
2018-10,ZAL.DE,1550.0
2018-10,FNAC.PA,800.0
2018-10,BHP,1650.0
2018-10,6146.T,550.0
2018-10,ACSO.L,2000.0
2018-10,SAX.DE,1950.0
2018-10,OCDO.L,11000.0
2018-10,4751.T,2000.0
2018-10,2678.T,3000.0
2018-10,AF.PA,10000.0
2018-10,ETO.L,20000.0
2018-10,ALK-B.CO,550.0
2018-10,HSBC,1499.5611
2018-10,STM,3500.0
2018-10,BZUN,2250.0
2018-10,6951.T,10000.0
2018-10,AMP.MI,5000.0
2018-10,6857.T,4000.0
2018-10,6481.T,1500.0
2018-10,AF-B.ST,3300.0
2018-10,MONC.MI,1250.0
2018-10,INRN.SW,70.0
2018-10,LN,1500.0
2018-10,RKUNY,10000.0
2018-10,ADYEN.AS,140.0
2018-10,CAPC.L,23000.0
2018-10,FDP.L,2000.0
2018-10,SMDS.L,10000.0
2018-10,TSM,1500.0
2018-11,BB,20000.0
2018-11,NOK,30000.0
2018-11,SHOP,1050.0
2018-11,FANUY,5000.0
2018-11,RACE,1000.0
2018-11,AMS.SW,2000.0
2018-11,BCART.BR,7000.0
2018-11,UCB.BR,1250.0
2018-11,ASML,840.0
2018-11,NTDOY,2500.0
2018-11,RAY.ST,8000.0
2018-11,SCHA.OL,3500.0
2018-11,UMI.BR,1700.0
2018-11,PNDORA.CO,3250.0
2018-11,BOOZT.ST,15000.0
2018-11,GWPH,1000.0
2018-11,MTLS,5000.0
2018-11,FAG.ST,12500.0
2018-11,NOD.OL,12500.0
2018-11,OVS.MI,18500.0
2018-11,AM3D.DE,2000.0
2018-11,NAS.OL,2300.0
2018-11,BAS1V.HE,4000.0
2018-11,6861.T,150.0
2018-11,BC.MI,2000.0
2018-11,ASC.L,1250.0
2018-11,SEDG,3250.0
2018-11,DUST.ST,11428.0
2018-11,ZAL.DE,1550.0
2018-11,FNAC.PA,800.0
2018-11,BHP,1650.0
2018-11,6146.T,550.0
2018-11,ACSO.L,2000.0
2018-11,SAX.DE,1950.0
2018-11,OCDO.L,11000.0
2018-11,4751.T,2000.0
2018-11,2678.T,3000.0
2018-11,AF.PA,10000.0
2018-11,ETO.L,20000.0
2018-11,ALK-B.CO,550.0
2018-11,HSBC,1499.5611
2018-11,STM,3500.0
2018-11,BZUN,3000.0
2018-11,6951.T,10000.0
2018-11,AMP.MI,5000.0
2018-11,6857.T,4000.0
2018-11,6481.T,1500.0
2018-11,AF-B.ST,3300.0
2018-11,MONC.MI,1250.0
2018-11,INRN.SW,70.0
2018-11,LN,1500.0
2018-11,RKUNY,10000.0
2018-11,ADYEN.AS,140.0
2018-11,CAPC.L,23000.0
2018-11,FDP.L,2000.0
2018-11,SMDS.L,10000.0
2018-11,TSM,1500.0
2018-12,BB,20000.0
2018-12,NOK,30000.0
2018-12,SHOP,1050.0
2018-12,FANUY,5000.0
2018-12,RACE,1000.0
2018-12,AMS.SW,3000.0
2018-12,BCART.BR,7000.0
2018-12,UCB.BR,1250.0
2018-12,ASML,840.0
2018-12,NTDOY,2500.0
2018-12,RAY.ST,8000.0
2018-12,SCHA.OL,3500.0
2018-12,UMI.BR,1700.0
2018-12,BOOZT.ST,15000.0
2018-12,GWPH,1000.0
2018-12,MTLS,2000.0
2018-12,FAG.ST,12500.0
2018-12,NOD.OL,12500.0
2018-12,OVS.MI,18500.0
2018-12,AM3D.DE,2000.0
2018-12,NAS.OL,2300.0
2018-12,BAS1V.HE,4000.0
2018-12,6861.T,150.0
2018-12,BC.MI,2000.0
2018-12,ASC.L,1250.0
2018-12,SEDG,3250.0
2018-12,DUST.ST,11428.0
2018-12,ZAL.DE,1550.0
2018-12,FNAC.PA,800.0
2018-12,BHP,1650.0
2018-12,6146.T,550.0
2018-12,ACSO.L,2000.0
2018-12,SAX.DE,1950.0
2018-12,OCDO.L,11000.0
2018-12,4751.T,2000.0
2018-12,2678.T,3000.0
2018-12,AF.PA,5000.0
2018-12,ETO.L,20000.0
2018-12,ALK-B.CO,550.0
2018-12,HSBC,1499.5611
2018-12,STM,3500.0
2018-12,BZUN,3000.0
2018-12,6951.T,10000.0
2018-12,AMP.MI,5000.0
2018-12,6857.T,4000.0
2018-12,6481.T,1500.0
2018-12,AF-B.ST,3300.0
2018-12,MONC.MI,1250.0
2018-12,INRN.SW,70.0
2018-12,LN,1500.0
2018-12,RKUNY,10000.0
2018-12,ADYEN.AS,140.0
2018-12,FDP.L,2000.0
2018-12,SMDS.L,10000.0
2018-12,TSM,1500.0
2018-12,ZOO.L,30000.0
2018-12,IQE.L,50000.0
2019-01,BB,20000.0
2019-01,NOK,30000.0
2019-01,SHOP,1050.0
2019-01,FANUY,5000.0
2019-01,RACE,1000.0
2019-01,AMS.SW,3000.0
2019-01,BCART.BR,7000.0
2019-01,UCB.BR,1250.0
2019-01,ASML,840.0
2019-01,NTDOY,2500.0
2019-01,RAY.ST,8000.0
2019-01,SCHA.OL,3500.0
2019-01,UMI.BR,1700.0
2019-01,BOOZT.ST,15000.0
2019-01,GWPH,1000.0
2019-01,MTLS,2000.0
2019-01,FAG.ST,12500.0
2019-01,NOD.OL,12500.0
2019-01,OVS.MI,18500.0
2019-01,AM3D.DE,2000.0
2019-01,NAS.OL,2300.0
2019-01,BAS1V.HE,4000.0
2019-01,6861.T,150.0
2019-01,BC.MI,2000.0
2019-01,ASC.L,1250.0
2019-01,SEDG,3250.0
2019-01,DUST.ST,11428.0
2019-01,ZAL.DE,1550.0
2019-01,BHP,1650.0
2019-01,6146.T,550.0
2019-01,ACSO.L,2000.0
2019-01,SAX.DE,1950.0
2019-01,OCDO.L,11000.0
2019-01,4751.T,2000.0
2019-01,2678.T,3000.0
2019-01,AF.PA,5000.0
2019-01,ETO.L,20000.0
2019-01,ALK-B.CO,550.0
2019-01,HSBC,1499.5611
2019-01,STM,3500.0
2019-01,BZUN,3000.0
2019-01,6951.T,10000.0
2019-01,AMP.MI,5000.0
2019-01,6857.T,4000.0
2019-01,6481.T,1500.0
2019-01,AF-B.ST,3300.0
2019-01,MONC.MI,1250.0
2019-01,INRN.SW,70.0
2019-01,LN,1500.0
2019-01,RKUNY,10000.0
2019-01,ADYEN.AS,140.0
2019-01,FDP.L,2000.0
2019-01,SMDS.L,15000.0
2019-01,TSM,1500.0
2019-01,ZOO.L,30000.0
2019-01,IQE.L,50000.0
2019-01,MC.PA,250.0
2019-01,ORP.PA,500.0
2019-02,BB,20000.0
2019-02,NOK,30000.0
2019-02,SHOP,1050.0
2019-02,FANUY,5000.0
2019-02,RACE,600.0
2019-02,AMS.SW,3000.0
2019-02,BCART.BR,7000.0
2019-02,UCB.BR,1250.0
2019-02,ASML,840.0
2019-02,NTDOY,2500.0
2019-02,RAY.ST,8000.0
2019-02,SCHA.OL,3500.0
2019-02,UMI.BR,1700.0
2019-02,BOOZT.ST,15000.0
2019-02,GWPH,1000.0
2019-02,MTLS,2000.0
2019-02,FAG.ST,12500.0
2019-02,NOD.OL,12500.0
2019-02,OVS.MI,18500.0
2019-02,AM3D.DE,2000.0
2019-02,NAS.OL,2300.0
2019-02,BAS1V.HE,2000.0
2019-02,6861.T,150.0
2019-02,BC.MI,2000.0
2019-02,ASC.L,1250.0
2019-02,SEDG,3250.0
2019-02,DUST.ST,11428.0
2019-02,ZAL.DE,1550.0
2019-02,BHP,1650.0
2019-02,6146.T,550.0
2019-02,ACSO.L,2000.0
2019-02,SAX.DE,1950.0
2019-02,OCDO.L,11000.0
2019-02,4751.T,2000.0
2019-02,2678.T,3000.0
2019-02,AF.PA,5000.0
2019-02,ETO.L,20000.0
2019-02,ALK-B.CO,550.0
2019-02,HSBC,1499.5611
2019-02,STM,3500.0
2019-02,BZUN,3000.0
2019-02,6951.T,10000.0
2019-02,AMP.MI,5000.0
2019-02,6857.T,4000.0
2019-02,6481.T,1500.0
2019-02,AF-B.ST,3300.0
2019-02,MONC.MI,1250.0
2019-02,INRN.SW,70.0
2019-02,LN,2500.0
2019-02,RKUNY,10000.0
2019-02,ADYEN.AS,140.0
2019-02,FDP.L,2000.0
2019-02,SMDS.L,15000.0
2019-02,TSM,1500.0
2019-02,ZOO.L,30000.0
2019-02,IQE.L,50000.0
2019-02,MC.PA,250.0
2019-02,ORP.PA,500.0
2019-02,TPE.DE,4000.0
2019-02,4921.T,2000.0
2019-03,BB,25000.0
2019-03,NOK,30000.0
2019-03,SHOP,1050.0
2019-03,FANUY,5000.0
2019-03,RACE,600.0
2019-03,AMS.SW,3000.0
2019-03,BCART.BR,7000.0
2019-03,UCB.BR,1250.0
2019-03,ASML,630.0
2019-03,NTDOY,2500.0
2019-03,RAY.ST,8000.0
2019-03,SCHA.OL,3500.0
2019-03,UMI.BR,1700.0
2019-03,BOOZT.ST,15000.0
2019-03,GWPH,1000.0
2019-03,MTLS,2000.0
2019-03,FAG.ST,12500.0
2019-03,NOD.OL,12500.0
2019-03,OVS.MI,18500.0
2019-03,AM3D.DE,2000.0
2019-03,NAS.OL,6900.0
2019-03,BAS1V.HE,2000.0
2019-03,6861.T,150.0
2019-03,BC.MI,2000.0
2019-03,ASC.L,1250.0
2019-03,SEDG,3250.0
2019-03,DUST.ST,6000.0
2019-03,ZAL.DE,1550.0
2019-03,BHP,1650.0
2019-03,6146.T,550.0
2019-03,ACSO.L,2000.0
2019-03,SAX.DE,1000.0
2019-03,OCDO.L,6000.0
2019-03,4751.T,2000.0
2019-03,2678.T,3000.0
2019-03,AF.PA,5000.0
2019-03,ETO.L,20000.0
2019-03,ALK-B.CO,550.0
2019-03,STM,3500.0
2019-03,BZUN,3000.0
2019-03,6951.T,10000.0
2019-03,AMP.MI,5000.0
2019-03,6857.T,4000.0
2019-03,6481.T,1500.0
2019-03,AF-B.ST,3300.0
2019-03,MONC.MI,1250.0
2019-03,INRN.SW,70.0
2019-03,LN,2500.0
2019-03,RKUNY,10000.0
2019-03,ADYEN.AS,140.0
2019-03,FDP.L,2000.0
2019-03,SMDS.L,15000.0
2019-03,TSM,1500.0
2019-03,ZOO.L,30000.0
2019-03,IQE.L,50000.0
2019-03,MC.PA,250.0
2019-03,ORP.PA,500.0
2019-03,TPE.DE,4000.0
2019-03,4921.T,2000.0
2019-03,3064.T,2500.0
2019-03,6594.T,400.0
2019-03,3990.T,1000.0
2019-03,3844.T,1500.0
2019-03,LTG.L,50000.0
2019-04,BB,25000.0
2019-04,NOK,30000.0
2019-04,SHOP,1050.0
2019-04,FANUY,5000.0
2019-04,AMS.SW,3000.0
2019-04,BCART.BR,7000.0
2019-04,UCB.BR,1250.0
2019-04,ASML,630.0
2019-04,NTDOY,2500.0
2019-04,RAY.ST,8000.0
2019-04,SCHA.OL,3500.0
2019-04,UMI.BR,1700.0
2019-04,BOOZT.ST,15000.0
2019-04,GWPH,1000.0
2019-04,MTLS,2000.0
2019-04,FAG.ST,12500.0
2019-04,NOD.OL,12500.0
2019-04,OVS.MI,18500.0
2019-04,AM3D.DE,2000.0
2019-04,NAS.OL,6900.0
2019-04,BAS1V.HE,2000.0
2019-04,6861.T,150.0
2019-04,BC.MI,2000.0
2019-04,ASC.L,1250.0
2019-04,SEDG,3250.0
2019-04,DUST.ST,6000.0
2019-04,ZAL.DE,1550.0
2019-04,BHP,1650.0
2019-04,6146.T,550.0
2019-04,ACSO.L,2000.0
2019-04,SAX.DE,1000.0
2019-04,OCDO.L,6000.0
2019-04,4751.T,2000.0
2019-04,2678.T,3000.0
2019-04,ETO.L,20000.0
2019-04,ALK-B.CO,550.0
2019-04,STM,3500.0
2019-04,BZUN,4500.0
2019-04,6951.T,10000.0
2019-04,AMP.MI,5000.0
2019-04,6857.T,4000.0
2019-04,6481.T,1500.0
2019-04,AF-B.ST,4400.0
2019-04,MONC.MI,2250.0
2019-04,INRN.SW,70.0
2019-04,LN,2500.0
2019-04,RKUNY,10000.0
2019-04,ADYEN.AS,140.0
2019-04,FDP.L,2000.0
2019-04,SMDS.L,15000.0
2019-04,TSM,1500.0
2019-04,ZOO.L,90000.0
2019-04,IQE.L,50000.0
2019-04,MC.PA,250.0
2019-04,ORP.PA,500.0
2019-04,TPE.DE,4000.0
2019-04,4921.T,2000.0
2019-04,3064.T,2500.0
2019-04,6594.T,400.0
2019-04,3990.T,1000.0
2019-04,3844.T,1500.0
2019-04,LTG.L,50000.0
2019-04,CAP.PA,1000.0
2019-04,6920.T,1000.0
2019-04,ADE.OL,3000.0
2019-04,MDW.PA,4500.0
2019-05,BB,25000.0
2019-05,NOK,30000.0
2019-05,SHOP,800.0
2019-05,FANUY,5000.0
2019-05,AMS.SW,3000.0
2019-05,BCART.BR,7000.0
2019-05,UCB.BR,1250.0
2019-05,ASML,630.0
2019-05,NTDOY,2500.0
2019-05,RAY.ST,8000.0
2019-05,SCHA.OL,3500.0
2019-05,UMI.BR,1700.0
2019-05,BOOZT.ST,15000.0
2019-05,GWPH,1000.0
2019-05,MTLS,4000.0
2019-05,FAG.ST,17500.0
2019-05,NOD.OL,12500.0
2019-05,OVS.MI,18500.0
2019-05,AM3D.DE,2000.0
2019-05,NAS.OL,6900.0
2019-05,BAS1V.HE,4000.0
2019-05,6861.T,150.0
2019-05,BC.MI,2000.0
2019-05,ASC.L,1250.0
2019-05,SEDG,3250.0
2019-05,DUST.ST,6000.0
2019-05,ZAL.DE,1550.0
2019-05,BHP,1650.0
2019-05,6146.T,550.0
2019-05,ACSO.L,2000.0
2019-05,SAX.DE,1000.0
2019-05,OCDO.L,6000.0
2019-05,4751.T,2000.0
2019-05,2678.T,3000.0
2019-05,ETO.L,20000.0
2019-05,ALK-B.CO,550.0
2019-05,STM,3500.0
2019-05,BZUN,4500.0
2019-05,6951.T,10000.0
2019-05,AMP.MI,5000.0
2019-05,6857.T,4000.0
2019-05,6481.T,1500.0
2019-05,AF-B.ST,4400.0
2019-05,MONC.MI,2250.0
2019-05,INRN.SW,70.0
2019-05,LN,2500.0
2019-05,RKUNY,10000.0
2019-05,ADYEN.AS,140.0
2019-05,FDP.L,2000.0
2019-05,SMDS.L,15000.0
2019-05,TSM,1500.0
2019-05,ZOO.L,90000.0
2019-05,IQE.L,50000.0
2019-05,ORP.PA,500.0
2019-05,TPE.DE,4000.0
2019-05,4921.T,2000.0
2019-05,3064.T,2500.0
2019-05,6594.T,400.0
2019-05,3990.T,1000.0
2019-05,3844.T,1500.0
2019-05,LTG.L,50000.0
2019-05,CAP.PA,1000.0
2019-05,6920.T,1000.0
2019-05,ADE.OL,3000.0
2019-05,MDW.PA,4500.0
2019-05,2146.T,2000.0
2019-05,LBIRD.PA,3000.0
2019-05,FDEV.L,3214.0
2019-06,BB,30000.0
2019-06,NOK,30000.0
2019-06,SHOP,300.0
2019-06,FANUY,5000.0
2019-06,AMS.SW,4000.0
2019-06,BCART.BR,7000.0
2019-06,UCB.BR,1250.0
2019-06,ASML,630.0
2019-06,NTDOY,2500.0
2019-06,RAY.ST,8000.0
2019-06,SCHA.OL,3500.0
2019-06,UMI.BR,5600.0
2019-06,BOOZT.ST,15000.0
2019-06,GWPH,1000.0
2019-06,MTLS,4000.0
2019-06,FAG.ST,17500.0
2019-06,NOD.OL,18500.0
2019-06,OVS.MI,18500.0
2019-06,AM3D.DE,4000.0
2019-06,NAS.OL,6900.0
2019-06,BAS1V.HE,4000.0
2019-06,6861.T,150.0
2019-06,BC.MI,2000.0
2019-06,ASC.L,4000.0
2019-06,SEDG,3250.0
2019-06,DUST.ST,9000.0
2019-06,ZAL.DE,1550.0
2019-06,BHP,1650.0
2019-06,6146.T,550.0
2019-06,ACSO.L,2000.0
2019-06,SAX.DE,1000.0
2019-06,OCDO.L,6000.0
2019-06,4751.T,2000.0
2019-06,2678.T,3000.0
2019-06,ETO.L,20000.0
2019-06,ALK-B.CO,550.0
2019-06,STM,5500.0
2019-06,BZUN,4500.0
2019-06,6951.T,10000.0
2019-06,AMP.MI,5000.0
2019-06,6857.T,4000.0
2019-06,6481.T,2500.0
2019-06,AF-B.ST,4400.0
2019-06,MONC.MI,2250.0
2019-06,INRN.SW,70.0
2019-06,LN,2500.0
2019-06,RKUNY,10000.0
2019-06,ADYEN.AS,140.0
2019-06,FDP.L,2000.0
2019-06,SMDS.L,25000.0
2019-06,TSM,3000.0
2019-06,ZOO.L,90000.0
2019-06,IQE.L,130000.0
2019-06,ORP.PA,1000.0
2019-06,TPE.DE,7000.0
2019-06,4921.T,3000.0
2019-06,3064.T,4500.0
2019-06,6594.T,400.0
2019-06,3990.T,2000.0
2019-06,3844.T,1500.0
2019-06,LTG.L,250000.0
2019-06,CAP.PA,1000.0
2019-06,6920.T,2000.0
2019-06,ADE.OL,3000.0
2019-06,MDW.PA,4500.0
2019-06,2146.T,3000.0
2019-06,LBIRD.PA,3000.0
2019-06,FDEV.L,8214.0
2019-07,BB,30000.0
2019-07,NOK,30000.0
2019-07,SHOP,300.0
2019-07,FANUY,5000.0
2019-07,AMS.SW,4000.0
2019-07,BCART.BR,10000.0
2019-07,UCB.BR,1250.0
2019-07,ASML,630.0
2019-07,NTDOY,2500.0
2019-07,RAY.ST,10000.0
2019-07,SCHA.OL,3500.0
