Date Posted,Activity,Description,Principal Cash
04/09/18,Purchase,"Purchased 18,449.22 Units Of -2,362.78 2,362.78 Norwegian Krone Trade Date 4/6/18 Value Date 4/9/18 Book Value 18,449.22 NOK Traded At 7.80826823 NOK To 1 USD Valued At 7.80826823 NOK For 2,362.78 USD Net Cost 2,362.78 USD 18,449.22 Units At 1 NOK Fx5594422","27,126.14"
04/09/18,Purchase,"Purchased 17,168.58 Units Of -2,198.89 2,198.89 Norwegian Krone Trade Date 4/6/18 Value Date 4/9/18 Book Value 17,168.58 NOK Traded At 7.80783941 NOK To 1 USD Valued At 7.80783941 NOK For 2,198.89 USD Net Cost 2,198.89 USD 17,168.58 Units At 1 NOK Fx5594425","24,927.25"
04/09/18,Purchase,"Purchased 12,967.98 Units Of -15,950.03 15,950.03 Euro Trade Date 4/6/18 Value Date 4/9/18 Book Value 12,967.98 EUR Traded At 0.81303797 EUR To 1 USD Valued At 0.81303797 EUR For 15,950.03 USD Net Cost 15,950.03 USD 12,967.98 Units At 1 EUR Fx5594426","8,977.22"
04/09/18,Purchase,"Purchased 1,395.90 Units Of -1,970.90 1,970.90 British Pound Trade Date 4/6/18 Value Date 4/9/18 Book Value 1,395.90 GBP Traded At 0.70825511 GBP To 1 USD Valued At 0.70825511 GBP For 1,970.90 USD Net Cost 1,970.90 USD 1,395.9 Units At 1 GBP Fx5594668","7,006.32"
04/09/18,Purchase,"Purchased 20 Shares Of -2,282.02 2,282.02 Gw Pharmaceuticals A D R Trade Date 4/5/18 Purchased Through J.P. Morgan Securities LLC Paid 0.20 USD Brokerage 20 Shares At 114.0908 USD","4,724.30"
04/09/18,Purchase,"Purchased 150 Shares Of -1,765.50 1,765.50 Materialise Nv A D R Trade Date 4/5/18 Purchased Through J.P. Morgan Securities LLC Paid 1.50 USD Brokerage 150 Shares At 11.76 USD","2,958.80"
04/09/18,Purchase,"Purchased 50 Shares Of -1,945.73 1,945.73 G5 Entertainment Ab Net Cost 16,358.18 SEK Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 8.18 SEK Brokerage Book Value 16,358.18 SEK Valued At 8.4072 SEK For 1,945.73 USD Fed Tax Cost Reduction 1,946.74- USD Fed ST Currency Loss Of 1.01- USD 50 Shares At 327 SEK","1,013.07"
04/09/18,Purchase,"Purchased 100 Shares Of -2,724.03 2,724.03 Intrum Justitia Ab Net Cost 22,901.45 SEK Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 11.45 SEK Brokerage Book Value 22,901.45 SEK Valued At 8.4072 SEK For 2,724.03 USD Fed Tax Cost Reduction 2,725.36- USD Fed ST Currency Loss Of 1.33- USD 100 Shares At 228.9 SEK","-1,710.96"
04/09/18,Purchase,"Purchased 300 Shares Of -2,588.36 2,588.36 Boozt Ab Net Cost 21,760.88 SEK Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 10.88 SEK Brokerage Book Value 21,760.88 SEK Valued At 8.4072 SEK For 2,588.36 USD Fed Tax Cost Reduction 2,588.69- USD Fed ST Currency Loss Of 0.33- USD 300 Shares At 72.5 SEK","-4,299.32"
04/09/18,Purchase,"Purchased 200 Shares Of -2,394.38 2,394.38 Fagerhult Ab Net Cost 20,130.06 SEK Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 10.06 SEK Brokerage Book Value 20,130.06 SEK Valued At 8.4072 SEK For 2,394.38 USD Fed Tax Cost Reduction 2,393.89- USD Fed ST Currency Gain Of 0.49 USD 200 Shares At 100.6 SEK","-6,693.70"
04/09/18,Purchase,"Purchased 5 Shares Of -2,593.92 2,593.92 Eurofins Scientific Net Cost 2,109.05 EUR Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 1.05 EUR Brokerage Book Value 2,109.05 EUR Valued At 0.813074 EUR For 2,593.92 USD Fed Tax Cost Reduction 2,594.04- USD Fed ST Currency Loss Of 0.12- USD 5 Shares At 421.6 EUR","-9,287.62"
04/09/18,Purchase,"Purchased 20 Shares Of -1,966.06 1,966.06 Asos Plc Net Cost 1,395.90 GBP Trade Date 4/5/18 Purchased Through Crst 784 Jpmorgan Secs Ltd Paid 0.70 GBP Brokerage Book Value 1,395.90 GBP Valued At 0.71 GBP For 1,966.06 USD Fed Tax Cost Reduction 1,970.90- USD Fed ST Currency Loss Of 4.84- USD 20 Shares At 69.76 GBP","-11,253.68"
04/09/18,Purchase,"Purchased 400 Shares Of -2,355.76 2,355.76 Nordic Semiconductor Asa Net Cost 18,449.22 NOK Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 9.22 NOK Brokerage Book Value 18,449.22 NOK Valued At 7.83155 NOK For 2,355.76 USD Fed Tax Cost Reduction 2,362.90- USD Fed ST Currency Loss Of 7.15- USD 400 Shares At 46.1 NOK","-13,609.44"
04/09/18,Purchase,"Purchased 100 Shares Of -3,288.77 3,288.77 Brunello Cucinelli Spa Net Cost 2,674.01 EUR Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 1.34 EUR Brokerage Paid 2.67 EUR Misc Fee1 Book Value 2,674.01 EUR Valued At 0.813074 EUR For 3,288.77 USD Fed Tax Cost Reduction 3,288.91- USD Fed ST Currency Loss Of 0.14- USD 100 Shares At 26.7 EUR","-16,898.21"
04/09/18,Purchase,"Purchased 300 Shares Of -1,830.62 1,830.62 Ovs Spa Net Cost 1,488.43 EUR Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.74 EUR Brokerage Paid 1.49 EUR Misc Fee1 Book Value 1,488.43 EUR Valued At 0.813074 EUR For 1,830.62 USD Fed Tax Cost Reduction 1,830.70- USD Fed ST Currency Loss Of 0.08- USD 300 Shares At 4.954 EUR","-18,728.83"
04/09/18,Purchase,"Purchased 100 Shares Of -3,857.67 3,857.67 Slm Solutions Group Ag Net Cost 3,136.57 EUR Trade Date 4/5/18 Purchased Through Jpmsgb2leql Jp Morgan Eq Lndn Paid 1.57 EUR Brokerage Book Value 3,136.57 EUR Valued At 0.813074 EUR For 3,857.67 USD Fed Tax Cost Reduction 3,857.84- USD Fed ST Currency Loss Of 0.17- USD 100 Shares At 31.35 EUR","-22,586.50"
04/09/18,Purchase,"Purchased 100 Shares Of -2,192.23 2,192.23 Norwegian Air Shut Net Cost 17,168.58 NOK Trade Date 4/5/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 8.58 NOK Brokerage Book Value 17,168.58 NOK Valued At 7.83155 NOK For 2,192.23 USD Fed Tax Cost Reduction 2,198.77- USD Fed ST Currency Loss Of 6.54- USD 100 Shares At 171.6 NOK","-24,778.73"
04/09/18,Purchase,"Purchased 300 Shares Of -15,949.32 15,949.32 Basware Oyj Npv Net Cost 12,967.98 EUR Trade Date 4/5/18 Purchased Through Jpmsgb2leql Jp Morgan Eq Lndn Paid 6.48 EUR Brokerage Book Value 12,967.98 EUR Valued At 0.813074 EUR For 15,949.32 USD Fed Tax Cost Reduction 15,948.28- USD Fed ST Currency Gain Of 1.05 USD 300 Shares At 43.205 EUR -16,358.18 Swedish Krona 99999SEK5 -22,901.45 Swedish Krona 99999SEK5","-40,728.05"
04/10/18,Sale,"Sold 18,070.3 Units Of 18,070.30 -18,070.30 First Am Govt Ob Fd Cl X Trade Date 4/10/18","21,029.10"
04/10/18,Purchase,"Purchased 15 Shares Of -1,609.56 1,609.56 Groupe Fnac Sa Net Cost 1,609.56 USD Trade Date 4/6/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.65 USD Brokerage Paid 3.93 USD Misc Fee1 Book Value 1,316.24 EUR Traded At 0.817762 EUR To 1 USD Valued At 0.817762 EUR For 1,609.56 USD 15 Shares At 87.49998882 EUR","19,419.54"
04/10/18,Purchase,"Purchased 40 Shares Of -2,178.00 2,178.00 Zalando SE Net Cost 2,178.00 USD Trade Date 4/6/18 Purchased Through Jpmsgb2leql Jp Morgan Eq Lndn Paid 0.89 USD Brokerage Book Value 1,781.09 EUR Traded At 0.817762 EUR To 1 USD Valued At 0.817762 EUR For 2,178.00 USD 40 Shares At 44.5089457 EUR","17,241.54"
04/10/18,Purchase,"Purchased 150 Shares Of -1,288.65 1,288.65 Dustin Group Ab Net Cost 1,288.65 USD Trade Date 4/6/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 5.40 USD Brokerage Book Value 10,871.63 SEK Traded At 8.43645 SEK To 1 USD Valued At 8.43645 SEK For 1,288.65 USD 150 Shares At 72.17382975 SEK","15,952.89"
04/10/18,Purchase,"Purchased 200 Shares Of -18,911.96 18,911.96 Sodastream International Ltd Trade Date 4/6/18 Purchased Through J.P. Morgan Securities LLC Paid 2.00 USD Brokerage 200 Shares At 94.5498 USD","-2,959.07"
04/10/18,Purchase,"Purchased 20 Shares Of -1,094.20 1,094.20 Solaredge Technologies Inc Trade Date 4/6/18 Purchased Through J.P. Morgan Securities LLC Paid 0.20 USD Brokerage 20 Shares At 54.70 USD","-4,053.27"
04/11/18,Purchase,"Purchased 40 Shares Of -1,746.40 1,746.40 B H P Billiton Limited A D R Trade Date 4/9/18 Purchased Through J.P. Morgan Securities LLC Paid 0.40 USD Brokerage 40 Shares At 43.65 USD","-5,799.67"
04/12/18,Purchase,"Purchased 170 Shares Of -16,151.70 16,151.70 Sodastream International Ltd Trade Date 4/10/18 Purchased Through J.P. Morgan Securities LLC Paid 1.70 USD Brokerage 170 Shares At 95.00 USD","-21,951.37"
04/12/18,Purchase,"Purchased 40 Shares Of -2,195.32 2,184.13 Zalando SE Net Cost 2,195.32 USD Trade Date 4/9/18 Purchased Through Jpmsgb2leql Jp Morgan Eq Lndn Paid 1.10 USD Brokerage Book Value 1,781.29 EUR Traded At 0.81140335 EUR To 1 USD Valued At 0.815561 EUR For 2,184.13 USD 40 Shares At 44.51 EUR","-24,146.69"
04/13/18,Purchase,"Purchased 2,901.35 Units Of -2,901.35 2,901.35 First Am Govt Ob Fd Cl X Trade Date 4/13/18","-27,048.04"
04/13/18,Purchase,"Purchased 10 Shares Of -2,091.81 2,091.81 Disco Corporation Net Cost 2,091.81 USD Trade Date 4/10/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Book Value 223,907 JPY Traded At 107.04 JPY To 1 USD Valued At 107.04 JPY For 2,091.81 USD 10 Shares At 22,390.73424 JPY","-29,139.85"
04/13/18,Purchase,"Purchased 5 Shares Of -2,958.80 2,958.80 Keyence Corp Net Cost 2,958.80 USD Trade Date 4/5/18 Purchased Through Eclr 41555 Paid 0.05 USD Brokerage Book Value 315,230 JPY Traded At 106.54 JPY To 1 USD Valued At 106.54 JPY For 2,958.80 USD 5 Shares At 63,045.045 JPY","-32,098.65"
04/13/18,Sale,"Sold 340 Shares Of 32,098.65 -32,226.87 Sodastream International Ltd Trade Date 4/11/18 Sold Through J.P. Morgan Securities LLC Paid 3.40 USD Brokerage Paid 0.75 USD Sec Fee 340 Shares At 94.42 USD Transfer From Another Account",0.00
04/18/18,Purchase,"Purchased 3,000 Units Of -3,000.00 3,000.00 First Am Govt Ob Fd Cl X Trade Date 4/18/18",0.00
04/19/18,Sale,"Sold 3,000 Units Of 3,000.00 -3,000.00 First Am Govt Ob Fd Cl X Trade Date 4/19/18 Transfer From Another Account",0.00
04/20/18,Purchase,"Purchased 45,750 Units Of -45,750.00 45,750.00 First Am Govt Ob Fd Cl X Trade Date 4/20/18",0.00
04/23/18,Sale,"Sold 21,801.26 Units Of 21,801.26 -21,801.26 First Am Govt Ob Fd Cl X Trade Date 4/23/18","22,584.38"
04/23/18,Purchase,"Purchased 300 Shares Of -2,284.84 2,291.20 Ocado Group Plc Net Cost 2,284.84 USD Trade Date 4/19/18 Purchased Through Crst 784 Jpmorgan Secs Ltd Paid 1.14 USD Brokerage Paid 11.40 USD Misc Fee1 Book Value 1,609.61 GBP Traded At 0.70447384 GBP To 1 USD Valued At 0.702519 GBP For 2,291.20 USD 300 Shares At 5.336 GBP","20,299.54"
04/23/18,Purchase,"Purchased 20 Shares Of -1,496.52 1,493.63 Stroeer SE and Co Kgaa Net Cost 1,496.52 USD Trade Date 4/19/18 Purchased Through Jpmsgb2leql Jp Morgan Eq Lndn Paid 0.75 USD Brokerage Book Value 1,212.61 EUR Traded At 0.81028653 EUR To 1 USD Valued At 0.811853 EUR For 1,493.63 USD 20 Shares At 60.6 EUR","18,803.02"
04/23/18,Purchase,"Purchased 150 Shares Of -1,378.77 1,376.81 Dustin Group Ab Net Cost 1,378.77 USD Trade Date 4/19/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.69 USD Brokerage Book Value 11,555.78 SEK Traded At 8.38122384 SEK To 1 USD Valued At 8.39315 SEK For 1,376.81 USD 150 Shares At 77 SEK","17,424.25"
04/23/18,Purchase,"Purchased 100 Shares Of -1,514.86 1,512.70 Raysearch Laboratories Ab Net Cost 1,514.86 USD Trade Date 4/19/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.76 USD Brokerage Book Value 12,696.35 SEK Traded At 8.38120354 SEK To 1 USD Valued At 8.39315 SEK For 1,512.70 USD 100 Shares At 126.9 SEK","15,909.39"
