Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
03/22/19,Purchase,"50,000",Shares,"Learning Technologies Group Net Cost 50,060.34 USD",3/20/19,Crst 784 Jpmorgan Secs Ltd,0.7582 GBP,0.00
03/25/19,Purchase,"9,265",Units,First Am Govt Ob Fd Cl X,3/25/19,,,0.00
03/26/19,Sale,"1,552.99",Units,"1,552.99 -1,552.99 First Am Govt Ob Fd Cl X",3/26/19,,,"1,993.50"
03/26/19,Sale,"45,431",Units,"45,431.00 -45,431.00 First Am Govt Ob Fd Cl X",3/26/19,,,"47,424.50"
03/26/19,Purchase,"5,000",Shares,Blackberry Ltd,3/22/19,J.P. Morgan Securities LLC,9.0762 USD,"1,993.50"
03/27/19,Purchase,980.93,Units,First Am Govt Ob Fd Cl X,3/27/19,,,0.00
03/28/19,Sale,"100,680.77",Units,"100,680.77 -100,680.77 First Am Govt Ob Fd Cl X",3/28/19,,9.2984 SEK,"-1,149.15"
04/01/19,Purchase,"9,843.41",Units,First Am Govt Ob Fd Cl X,4/1/19,,,"-63,700.48"
04/01/19,Sale,10,Shares,"1,834.47 -1,945.01 Asml Holding Nv Ny Reg Shs",3/28/19,J.P. Morgan Securities LLC,183.46 USD,"-61,866.01"
04/01/19,Sale,"1,533",Shares,"61,866.01 -71,168.11 Hsbc Holdings Plc Spons A D R",3/28/19,J.P. Morgan Securities LLC,40.3667 USD,0.00
04/02/19,Purchase,254.06,Units,First Am Govt Ob Fd Cl X,4/2/19,,,0.00
04/04/19,Purchase,"18,444.04",Units,First Am Govt Ob Fd Cl X,4/4/19,,,0.00
04/05/19,Sale,"28,541.51",Units,"28,541.51 -28,541.51 First Am Govt Ob Fd Cl X",4/5/19,,,"-131,200.73"
04/05/19,Sale,300,Shares,"40,809.96 -38,124.61 Ferrari Nv",4/3/19,J.P. Morgan Securities LLC,136.045 USD,"-90,390.77"
04/09/19,Purchase,"131,775.61",Units,First Am Govt Ob Fd Cl X,4/9/19,,,"-101,548.78"
04/09/19,Sale,"5,000",Shares,"60,436.54 -40,713.05 Air France Klm Net Proceeds 60,436.54 USD",4/5/19,Jpmsgb2l Jp Morgan Sec London,10.7806 EUR,"-41,112.24"
04/09/19,Sale,300,Shares,"41,112.24 -34,971.00 Ferrari Nv",4/5/19,J.P. Morgan Securities LLC,137.0526 USD,0.00
04/11/19,Purchase,"118,124.55",Units,First Am Govt Ob Fd Cl X,4/11/19,,1.00 SEK,0.00
04/12/19,Purchase,"1,100",Shares,"Af Poyry Ab Bta Net Cost 108,900.00 SEK",4/12/19,"Global Corporate Actions Book Value 108,900.00 SEK Valued At 9.26775 SEK For 11,750.42 USD Fed Tax Cost Reduction 11,750.42- USD 1,100 Shares At 99 SEK Ca Rights Exercise 7Gb2305 16664 00- -A -UC-UZ -001-04",99 SEK,"-11,750.42"
04/12/19,Purchase,"108,900.00",Units,Swedish Krona,4/12/19,"Bny-Mellon Foreign Exchange Book Value 108,900.00 SEK Traded At 9.26326033 SEK To 1 USD Valued At 9.26326033 SEK For 11,756.12 USD Net Cost 11,756.12 USD Repayment Of Currency Overdraft Resulted In Fed ST Currency Loss On SEK Of 5.70- USD 108,900 Units At 1 SEK Ca Rights Exercise 7Gb2305 Adevinta Asa A Valued At 99.00 NOK For 1.00 USD Market Value Of 36,935.25 USD Ca Spin Off 4790534 Exdt 4/10/19 Transfer From Another Account",99.00 NOK,"-23,506.54"
