month,sect_wt_business_services,sect_wt_consumer_cyclicals,sect_wt_consumer_non_cyclicals,sect_wt_consumer_services,sect_wt_finance,sect_wt_healthcare,sect_wt_industrials,sect_wt_non_energy_materials,sect_wt_technology,ctry_wt_AT,ctry_wt_AU,ctry_wt_BE,ctry_wt_CA,ctry_wt_DE,ctry_wt_DK,ctry_wt_FI,ctry_wt_FR,ctry_wt_GB,ctry_wt_IL,ctry_wt_IT,ctry_wt_JP,ctry_wt_NL,ctry_wt_NO,ctry_wt_SE,top_sector,top_sector_wt,sector_hhi,wt_classified_sector,wt_classified_country,n_sectors,n_countries,ctry_wt_CH,ctry_wt_CN,ctry_wt_TW,ctry_wt_IE,ctry_wt_MX,ctry_wt_US,ctry_wt_UY,ctry_wt_AR,ctry_wt_ES,sect_wt_energy
2019-02,0.06742385257301331,0.11651805588773587,0.02158164924580076,0.05126614869206811,0.10888241747146978,0.14168509089080636,0.12458468450812293,0.061959143831870754,0.30609895689911204,0.022223211513110703,0.02078868879525758,0.08278624050494614,0.12421810532644281,0.06590995286025296,0.003134747817581493,0.06221703114657708,0.056048264910882085,0.19509646931414293,0.032711490663741224,0.08610751352772002,0.08193577741528066,0.06510346922308011,0.005822491218786098,0.011875710466392235,Technology,0.30609895689911204,0.1662033151777899,1.0,1.0,9,18,0.04331158820490357,0.026758425687657555,0.013950821403244688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,0.05443122577987519,0.11996125815997793,0.026226614976978934,0.051754618808978116,0.10532930849900761,0.1443580438628084,0.11664906946752109,0.06362973883575274,0.3176601216090999,0.019843845533677646,0.02200879238270097,0.08238048692461332,0.15157133081574994,0.052443840676715064,0.0033399989863105084,0.05546623797752811,0.057100982809975775,0.17972400290827187,0.0298784078042421,0.08825520917949659,0.08909612036294534,0.05896943464338253,0.006366019361432254,0.010656770941639334,Technology,0.3176601216090999,0.1712170476898664,1.0,1.0,9,18,0.047502662443913,0.030405415487217462,0.014990440760188099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,0.07161892661300878,0.1093112575547917,0.027365851802004185,0.07319455334836505,0.1069206768635928,0.12723041506391478,0.09432305190217076,0.05481386515432179,0.3352214016978302,0.027098031130724898,0.019066683080847694,0.06952090972196853,0.1409604457240008,0.055351949560222664,0.0030532405719648917,0.04578458187581808,0.08296145491415857,0.18240639043428875,0.03142044463404638,0.07305340434190674,0.08805231879441773,0.05649995186596782,0.00527454323068546,0.010780178640204707,Technology,0.3352214016978302,0.17507894990998413,1.0,1.0,9,18,0.046740976829174045,0.047629880474947886,0.014344614174654408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,0.07178863323451883,0.07672302538523508,0.026418818324155813,0.07659232422838028,0.10426820821482342,0.15055504970567288,0.09152748447312116,0.05006556311847189,0.3520608933156206,0.022686504372555052,0.019735121037341884,0.07281362106526817,0.12789637825524477,0.05283549934564687,0.00433379463625772,0.05720001363748984,0.07283682976921012,0.19570415703235142,0.040122768449326975,0.07361262700765224,0.08820468469940752,0.05613816289237493,0.005305579760874885,0.010674252354190096,Technology,0.3520608933156206,0.1859737644410411,1.0,1.0,9,18,0.04596980679745298,0.04067575690241443,0.013254441984940041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,0.06949972047394755,0.0829397321945687,0.022982757373893336,0.054953473649697056,0.058408531777767406,0.13391688429034207,0.08576233862294945,0.07958076753904536,0.41195579407778904,0.028643972905531664,0.017084143603170076,0.08819010038624782,0.07874726663880267,0.06273034235183529,0.003485703421834725,0.04354352743504855,0.07268320718548682,0.26263563511826415,0.036169602381330185,0.06338204488408354,0.07263113423384564,0.04526485758863414,0.004946433249604594,0.009522354126535536,Technology,0.41195579407778904,0.2199984437700489,1.0,1.0,9,18,0.049423574772366516,0.03997819496194021,0.020937904755437865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,0.03664989867642639,0.10011492405737621,0.019885246971982372,0.06713593166010576,0.05188268085671225,0.13376656875582565,0.0752708196429202,0.0722059000916221,0.443088029287029,0.03672071184641198,0.015534224729767673,0.0889975146254457,0.08764676143240148,0.0638866698614586,0.003206795704746283,0.04297774107538414,0.06867138033921034,0.28143256815798723,0.03633513515437192,0.06000340790143742,0.06877444639447539,0.04453805798637648,0.004964465653302129,0.011069847390269092,Technology,0.443088029287029,0.24406056694382153,1.0,1.0,9,17,0.05601413820045712,0.0,0.029226133546497012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,0.03535975145857988,0.11802257564066693,0.01575818799633001,0.049202174760912765,0.05266379832468468,0.1683467889459969,0.09299801129631989,0.07295996261778742,0.3946887489587214,0.02344189578896902,0.011700033255183422,0.1100166786884971,0.05892838572374585,0.09042908463350449,0.002379610665616006,0.03471912821709335,0.08334337469643886,0.2968188982844629,0.038402949600069465,0.05981434753225968,0.06600663800346053,0.03643564120568715,0.0049448261063465985,0.013506782640866268,Technology,0.3946887489587214,0.21871392668147166,1.0,1.0,9,17,0.044515605044173005,0.0,0.02459611991362622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,0.033016317429811454,0.10584125506502719,0.015916720992978462,0.04651941063608153,0.05758337511066196,0.14809437445076415,0.09261718772990332,0.07723635214147913,0.42317500644329265,0.024839784371297607,0.011267401728072255,0.09509235336999168,0.046567644024329204,0.10063534653934395,0.0022934791343315656,0.0463985820401046,0.08505653093640905,0.29823733614026576,0.03762715043743854,0.04956860050648903,0.06492584935695829,0.04756786252944742,0.006488711888254148,0.012852857555560312,Technology,0.42317500644329265,0.23357811852996074,1.0,1.0,9,17,0.044869752672517686,0.0,0.025710756769188773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,0.050501242822682035,0.10586204402202049,0.013325238742648574,0.06541126051643513,0.05330932687960578,0.14792308208792038,0.08853896760323379,0.07776403570133013,0.39736480162412374,0.021428129414652896,0.015366711654501479,0.0956008182070179,0.04087677774314329,0.09032516081159402,0.0020920829622435425,0.039672602028711874,0.09385430073756858,0.31664935877025285,0.032736728006704255,0.04528352923874411,0.05615576613648698,0.04371156726040452,0.005599137424442133,0.011287534339786172,Technology,0.39736480162412374,0.21472164503038296,1.0,1.0,9,18,0.044235940854968,0.020638887481555398,0.024484966927222088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,0.042776286855529436,0.09075999828257111,0.03129328482321732,0.05697315400759327,0.09154537775836155,0.14569184578345654,0.08106561562776624,0.0755459328032329,0.38434850405827164,0.021223690948276763,0.01498216001854125,0.09333201264109905,0.039606533089951684,0.11809080891185511,0.00218658088009024,0.029732907996208605,0.08881508842326213,0.3383967497935384,0.02910014504917628,0.03888190640469312,0.04284511728067662,0.042818442918668716,0.005282637813565391,0.011416141193904748,Technology,0.38434850405827164,0.20390166264676096,1.0,1.0,9,18,0.043326263509473245,0.016663606571852594,0.02329920655516603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
