,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
slope_10y_2y,0.29373784380661044,-0.029074897441585992,-0.21189408053214343,0.03931701564767422,0.05257998138306801,-0.2278793859866192,0.08328813034722726,0.010416243365139246,0.3338435747802607,0.32678770415551817,-0.11110144362715749,-0.19628776803025913,-0.11160030779262958,-0.05257025362032582,-0.07743784216553898,-0.08210725359356533,-0.043560694373243954,0.6021877521763732,-0.0416756266693773,-0.17548217794548976,0.004432809948940039,-0.3323795125286205,0.00798870542452966
slope_10y_3m,0.263092821178793,-0.12498505719480915,-0.1787805741484946,0.15173979815318486,-0.01958166929434808,-0.3583193705361194,0.15610284920182815,-0.04397972120149819,0.2079337322539676,0.3277585883396005,0.0893241148300641,0.08339260934932545,0.25172993070204247,0.13294652940935275,0.008691135480319101,0.08611689391943013,-0.1503541307305532,-0.46415600168185744,-0.010562731371524999,0.099221466703823,0.0010030242572955038,0.09595377903940723,-0.44017440224459564
baa_spread,0.2547281897772593,-0.17270379138987202,0.24858732237483733,0.09189784937408879,-0.22685600269474496,0.03831726601591708,0.03709073177727564,0.1350120282961432,0.15940267219322274,0.052721428478151026,-0.2901691641914925,-0.2049571541677923,-0.2949569026363021,-0.09125587282417263,-0.0702481994171723,-0.08539794164398908,0.5517184998185058,-0.23357651582593422,0.338171752574434,0.16494195177092572,0.006618852870322824,-2.045825895513035e-17,-5.3471519628121984e-17
baa_aaa_spread,0.0857351519602809,-0.08628742199335783,0.43025849321599274,0.11666281086342772,-0.32296131625607677,0.178926652519714,0.04832506808574579,0.16685334348960854,0.15098549565664,-0.11859551926661542,-0.3283295191947754,0.005740330798138356,0.4300052824828216,0.12965756580366342,-0.2431155829382351,0.19596751849267294,-0.38143265688890515,0.15727523495174997,0.06393198689145049,-0.04162723264438843,-0.003457195417881594,1.1219686144643352e-16,1.298000296970841e-16
sp500,-0.2716983067153668,0.08140032092018167,-0.11458474240681668,0.048851021917079435,0.26700653214126574,0.3118505727427642,-0.0017577344410557067,0.16888119518342207,0.34684607640786724,0.12903439142728135,-0.08496532001340788,-0.14923063400511125,-0.25540174459325904,-0.17432475614268103,-0.15081531228109063,-0.24408179611989061,-0.47787488748309215,-0.2541291686755666,0.25486653375767865,0.06778529296035851,0.009568818738784287,-6.465550276240378e-17,2.53156630823302e-16
sp500_ret,0.02021622334564154,0.4602807844900316,0.04071390780746346,0.24103724311447844,-0.028510157519291125,0.059755572642665906,0.06310513270643724,0.08744717543909215,-0.08885091285195007,0.09292569548643981,-0.14521748365270376,-0.07771619464092244,0.07522903786900859,0.5904184883860446,0.2885627807079089,-0.4776718413301038,0.04235317562443888,0.01902831766811421,0.012032848014771044,0.01768762687734544,0.00036756055500703204,-1.2762154733281327e-16,5.738663170476093e-17
sp500_mom_12m,0.003917967623626776,0.2164895083310389,-0.3730863467556981,-0.04778748352019222,0.3934339978245963,0.04332131774648618,-0.06482424748888525,0.0910224986276527,0.12745045390062407,-0.1891763388700289,-0.5462504524124752,0.06198149581768045,0.19033690141945633,0.07247716565411016,0.08313686701915625,0.4278723254537105,0.21702056033229464,-0.04564755505879664,0.08665411899402613,0.0028833649913117456,0.0075212323800531574,6.333962347369072e-17,6.90729895464164e-17
Mkt_RF,0.02123914608258294,0.4280352953000024,-0.028830864498845782,0.24050784584410667,-0.15505628587180392,0.13230823748109627,0.08364392192293653,0.017796894049831532,-0.1494107791398715,0.1452972865425164,0.26269684181662395,-0.5941810894367937,0.013232862341175234,-0.14866807508948063,0.009864584652765166,0.46724966597686657,-0.0022071455830695863,-0.05060741959460675,-0.004262644696664562,0.0013829070681959585,-0.004458102315378748,1.6805306146781542e-16,-7.991466645308097e-17
SMB,0.1149367124362756,-0.045921726284504576,0.040844673709514376,-0.11347908585676345,0.13494442430164447,0.314585426946283,0.848028377502554,-0.3009479638564464,0.07579125039084851,-0.13861203063853428,0.041635694490237046,0.04604206176791924,-0.0379817488339921,0.028461409308204053,0.09999142482422174,0.02693661598463591,0.0241301435178206,0.029110629178556974,0.00429577355963719,0.001800933438714522,0.0004798359063011065,-1.203220439947798e-16,-7.23801140845109e-17
HML,-0.12003566100159144,-0.096227555202381,-0.40781775306763124,-0.0050299239582377335,-0.3749493180555435,0.10195944926080983,0.07484070614581628,0.12360303972364663,0.05483782389669441,-0.11876700260004189,0.016427194352960073,-0.08170715699129999,0.4686143071860164,-0.3988304977755372,0.32920242907048614,-0.29811097989558916,0.08416467519445471,0.05702897979116911,0.16561042215293753,0.019797864156281212,0.0025533779809689626,-1.7956698353674277e-16,-1.590467952236525e-16
RMW,0.10771247621758054,0.08800306507387706,0.34816178429613803,0.10425141876485322,0.3166868436140752,-0.27043972312366094,-0.13551116990028528,-0.12074674226293074,0.43274475009560387,-0.48680142942682797,0.23300810855201493,-0.24202911026572868,0.15582602576691693,-0.11682041006622369,0.23620602077381517,-0.10438007144091656,0.00887670435827005,-0.01619144114913421,0.010613586485845702,0.0034270703384066785,0.0003604180825282208,-3.168350671110574e-17,-8.15507124532839e-18
CMA,-0.12255703991215999,-0.253231234010967,-0.3103705909291385,-0.06794771501023832,-0.2778322429239835,-0.10801327204285244,0.08828601505673161,0.31589005718890667,0.1858068730389335,-0.42209801582754186,0.15217652318311517,-0.20571402111649914,-0.3112926242465104,0.4565749757481598,0.03446983564717423,0.15826970555121453,-0.08838356768844145,-0.014017971791464912,-0.07220732465887304,-0.021865067894661475,-0.00022954289806180665,1.508820289909092e-16,1.2088004499281017e-17
Mom,0.016481325416309613,-0.17208215842507432,0.1938591398153665,-0.18810827527039953,0.39278307092865106,-0.13879047277818007,0.24094660508622506,0.6997882121279505,-0.29937365324744575,0.12474191174425185,0.09632129941682284,-0.14967787465324744,0.16747876446713256,-0.04616801564995884,0.07521439760867007,-0.030555814184515914,0.027108960178065453,0.03376398685506471,0.01785198215521083,-0.003837906110398065,-0.001914225619695669,-2.261460465784403e-17,-5.357975891334003e-17
_explained_var_ratio,0.3396678506425999,0.1559448718387455,0.12994747489317365,0.10343427953904319,0.07889665840917356,0.04994352532473892,0.038831876176265274,0.02539389072600395,0.018205456639216692,0.016009208632227972,0.010784833661238639,0.00912761845746457,0.006243044557597326,0.004956730189657302,0.003990662978656907,0.003597563880914757,0.0018589825282826528,0.001607127423023176,0.0012470522068130682,0.000307762502125481,3.528793037485592e-06,1.5885960692427595e-33,1.3332331342712543e-33
_cumulative,0.3396678506425999,0.4956127224813454,0.6255601973745191,0.7289944769135622,0.8078911353227358,0.8578346606474747,0.89666653682374,0.9220604275497439,0.9402658841889606,0.9562750928211886,0.9670599264824272,0.9761875449398918,0.9824305894974891,0.9873873196871463,0.9913779826658032,0.994975546546718,0.9968345290750007,0.9984416564980239,0.999688708704837,0.9999964712069624,0.9999999999999999,0.9999999999999999,0.9999999999999999
