month,ticker,fsym_id,sector,country,w_begin,ret_usd,contrib
2018-11,BC.MI,LNW87G-R,Consumer Cyclicals,IT,0.01951536389312275,-0.009187045768419222,-0.00017928854127347463
2018-11,BCART.BR,VHJB07-R,Healthcare,BE,0.027050556297752375,-0.0042912729482093015,-0.00011608132047455752
2018-11,AF-B.ST,XJLJJN-R,Industrials,SE,0.0019394647423140081,-0.05846929682096147,-0.00011339913969214728
2018-11,FAG.ST,BXLTC8-R,Industrials,SE,0.0030089419419875143,-0.01228906477322389,-3.697708242395464e-05
2018-11,6146.T,J4TH5K-R,Technology,JP,0.00019436919736872104,-0.08193594208307098,-1.592582329833652e-05
2018-11,NAS.OL,QTFZXZ-R,Industrials,NO,0.001756049736361484,-0.007625066107600054,-1.338999532798996e-05
2018-11,2678.T,JZY038-R,Consumer Non-Cyclicals,JP,0.00018348408352989327,-0.043872214679467,-8.049853102888733e-06
2018-11,6481.T,LLWRYR-R,Industrials,JP,7.377710746227253e-05,0.036691951208332796,2.707026027297629e-06
2018-11,4751.T,G37DWR-R,Business Services,JP,0.0001884005421366853,0.06967212161146641,1.3126265483413339e-05
2018-11,6861.T,R4NT59-R,Industrials,JP,0.00016312971052810784,0.1103978956001157,1.8009176752159146e-05
2018-11,6951.T,KGPLVQ-R,Healthcare,JP,0.00036500145933012536,0.06719299416079871,2.4525540925452122e-05
2018-11,6857.T,KL74SJ-R,Technology,JP,0.00016370002114691792,0.16688551733191415,2.7319162716348683e-05
2018-11,NOD.OL,CSQ76Z-R,Technology,NO,0.0015980231720782113,0.04572445647196943,7.306874097288869e-05
2018-11,SAX.DE,JCTTTN-R,Business Services,DE,0.029047573482793455,0.0032204207667907436,9.354540886886816e-05
2018-11,UCB.BR,KNHDSG-R,Healthcare,BE,0.029910120173700785,0.004902281789750607,0.00014662783745678562
2018-11,SEDG,CQY5QT-R,Technology,IL,0.03158250757685955,0.005164029999999986,0.0001630930166021296
2018-11,SCHA.OL,G4GNVN-R,Technology,NO,0.0036305313238793146,0.05027716850331432,0.0001825328351272411
2018-11,DUST.ST,JTKY01-R,Technology,SE,0.0021975754193888936,0.11911891957604914,0.0002617728096444881
2018-11,OVS.MI,MP8K4H-R,Consumer Cyclicals,IT,0.009315275086336923,0.0362519489521711,0.00033769687690531736
2018-11,CAPC.L,J2R4L9-R,Finance,GB,0.02345625356392851,0.021216803367751114,0.0004976667196099825
2018-11,HSBC,RWBRW0-R,Finance,GB,0.01546023383100766,0.035288500000000056,0.0005455684615455147
2018-11,LN,JV8XYP-R,Technology,JP,0.011964582206618186,0.10789599999999999,0.0012909305617652756
2018-11,RKUNY,SSMH3Y-R,Consumer Non-Cyclicals,JP,0.01698652019268221,0.18892200000000003,0.003209127367841909
2018-11,SHOP,VC0Z7G-R,Finance,CA,0.03639619132717872,0.09874190000000005,0.0035938290844091504
2018-11,AF.PA,FPW2T0-R,Industrials,FR,0.027611828356587636,0.19411620544199604,0.005359903345896497
2018-11,BAS1V.HE,BFP734-R,Technology,FI,0.02574093098347059,0.46964556808903946,0.012089114154872802
2018-12,ASC.L,PP8053-R,Consumer Cyclicals,GB,0.026075883705449797,-0.5440066251719213,-0.01418545349297724
